ID,angle,utensil,pills,sip,rating
C1-015,90,Cup,0,9.2,0
C1-015,90,Straw,0,36.69,0
C1-015,90,Straw,1,22.28,0
C1-015,90,Cup,1,21.33,1
C1-015,90,Straw,2,27.1,3
C1-015,90,Cup,2,26.92,2
C1-016,30,Cup,0,13.65,1
C1-016,30,Straw,0,13.62,0
C1-016,30,Straw,1,19.32,2
C1-016,30,Cup,1,17.06,3
C1-016,30,Straw,2,22.91,3
C1-016,30,Cup,2,30.76,3
C1-016,65,Cup,0,20.01,1
C1-016,65,Straw,0,13.59,1
C1-016,65,Straw,1,16.6,0
C1-016,65,Cup,1,16.67,0
C1-016,65,Straw,2,52,3
C1-016,65,Cup,2,53.77,2
C1-016,90,Cup,0,13.19,0
C1-016,90,Straw,0,24.23,0
C1-016,90,Straw,1,21.96,0
C1-016,90,Cup,1,14.2,0
C1-016,90,Straw,2,24.83,2
C1-016,90,Cup,2,20.59,2
C1-017,30,Cup,0,20.46,0
C1-017,30,Straw,0,17.36,0
C1-017,30,Straw,1,1.77,1
C1-017,30,Cup,1,22.47,1
C1-017,30,Straw,2,35.01,4
C1-017,30,Cup,2,50.47,2
C1-017,65,Cup,0,16.98,0
C1-017,65,Straw,0,13.74,0
C1-017,65,Straw,1,36.99,1
C1-017,65,Cup,1,20.28,2
C1-017,65,Straw,2,35.52,4
C1-017,65,Cup,2,33.7,3
C1-017,90,Cup,0,32.51,0
C1-017,90,Straw,0,21.78,0
C1-017,90,Straw,1,14.35,0
C1-017,90,Cup,1,20.82,2
C1-017,90,Straw,2,16.76,2
C1-017,90,Cup,2,31.59,3
B1-004,30,Cup,0,6.29,0
B1-004,30,Straw,0,6.09,0
B1-004,30,Straw,1,24.57,3
B1-004,30,Cup,1,38.53,3
B1-004,30,Straw,2,22.18,3
B1-004,30,Cup,2,29.92,4
B1-004,65,Cup,0,13.22,0
B1-004,65,Straw,0,5.01,1
B1-004,65,Straw,1,19.59,0
B1-004,65,Cup,1,57.59,2
B1-004,65,Straw,2,73.23,2
B1-004,65,Cup,2,34.35,1
B1-004,90,Cup,0,25.06,0
B1-004,90,Straw,0,13.7,0
B1-004,90,Straw,1,27.86,0
B1-004,90,Cup,1,42.13,2
B1-004,90,Straw,2,31.3,2
B1-004,90,Cup,2,47.92,2
C-028,30,Cup,0,13.85,0
C-028,30,Straw,0,14.14,0
C-028,30,Straw,1,31.25,1
C-028,30,Cup,1,34.18,1
C-028,30,Straw,2,38.24,3
C-028,30,Cup,2,38.14,3
C-028,65,Cup,0,13.83,0
C-028,65,Straw,0,17.68,0
C-028,65,Straw,1,24.27,0
C-028,65,Cup,1,22.55,0
C-028,65,Straw,2,28.94,2
C-028,65,Cup,2,38.18,1
C-028,90,Cup,0,35.61,0
C-028,90,Straw,0,23.3,0
C-028,90,Straw,1,11.8,0
C-028,90,Cup,1,5.48,1
C-028,90,Straw,2,20.83,2
C-028,90,Cup,2,16.2,1
C-030,30,Cup,0,26,0
C-030,30,Straw,0,19.75,0
C-030,30,Straw,1,17.31,0
C-030,30,Cup,1,28.99,0
C-030,30,Straw,2,24.96,1
C-030,30,Cup,2,25.2,0
C-030,65,Cup,0,23.83,0
C-030,65,Straw,0,13.15,0
C-030,65,Straw,1,20.39,0
C-030,65,Cup,1,26.87,1
C-030,65,Straw,2,30.02,0
C-030,65,Cup,2,30.78,0
C-030,90,Cup,0,25.74,0
C-030,90,Straw,0,22.73,0
C-030,90,Straw,1,23.31,0
C-030,90,Cup,1,30.87,1
C-030,90,Straw,2,14.73,2
C-030,90,Cup,2,21.9,1
C-031,30,Cup,0,15.76,0
C-031,30,Straw,0,6.31,0
C-031,30,Straw,1,8.61,2
C-031,30,Cup,1,11.3,2
C-031,30,Straw,2,20.43,3
C-031,30,Cup,2,17.78,4
C-031,65,Cup,0,11.91,0
C-031,65,Straw,0,8.81,0
C-031,65,Straw,1,10.38,1
C-031,65,Cup,1,13.21,2
C-031,65,Straw,2,17.47,4
C-031,65,Cup,2,14.34,4
C-031,90,Cup,0,22.85,0
C-031,90,Straw,0,27.9,0
C-031,90,Straw,1,5.24,0
C-031,90,Cup,1,18.18,1
C-031,90,Straw,2,17.55,2
C-031,90,Cup,2,25,1
C-032,30,Cup,0,14.65,0
C-032,30,Straw,0,16.75,1
C-032,30,Straw,1,12.32,3
C-032,30,Cup,1,17.86,1
C-032,30,Straw,2,15.55,2
C-032,30,Cup,2,17.43,2
C-032,65,Cup,0,16.41,0
C-032,65,Straw,0,15.33,0
C-032,65,Straw,1,11.18,1
C-032,65,Cup,1,16.12,0
C-032,65,Straw,2,14.38,2
C-032,65,Cup,2,21.06,1
C-032,90,Cup,0,20.36,0
C-032,90,Straw,0,45.48,0
C-032,90,Straw,1,26.78,0
C-032,90,Cup,1,27.55,1
C-032,90,Straw,2,19.52,1
C-032,90,Cup,2,34.48,1
C-033,30,Cup,0,14.13,0
C-033,30,Straw,0,7.08,0
C-033,30,Straw,1,7.82,2
C-033,30,Cup,1,10.53,2
C-033,30,Straw,2,12.91,4
C-033,30,Cup,2,14.15,3
C-033,65,Cup,0,13.48,0
C-033,65,Straw,0,10.84,0
C-033,65,Straw,1,11.96,1
C-033,65,Cup,1,12.09,1
C-033,65,Straw,2,16.77,3
C-033,65,Cup,2,15.71,2
C-033,90,Cup,0,16.34,0
C-033,90,Straw,0,28.79,0
C-033,90,Straw,1,14.62,0
C-033,90,Cup,1,19.29,1
C-033,90,Straw,2,7.81,1
C-033,90,Cup,2,14.28,1
